f1m1, 4472, 1727, 2537, 449, 1885, 2849, 78, 80, blue
f1m2, 4472, 1727, 2537, 449, 1885, 2849, 77, 76, red
f1m3, 4472, 1727, 2537, 449, 1885, 2849, 55, 74, blue
qf1m1, 2912, 1123, 2186, 3650, 4514, 2914, 55, 24, red
qf1m2, 2912, 1123, 2186, 3650, 4514, 2914, 53, 41, red
qf2m1, 7770, 4456, 6893, 4472, 1727, 2537, 45, 74, blue
qf2m2, 7770, 4456, 6893, 4472, 1727, 2537, 47, 72, blue
qf3m1, 5587, 3793, 5830, 6239, 686, 3389, 58, 38, red
qf3m2, 5587, 3793, 5830, 6239, 686, 3389, 64, 45, red
qf4m1, 449, 1885, 2849, 1111, 4821, 4464, 138, 46, red
qf4m2, 449, 1885, 2849, 1111, 4821, 2900, 60, 55, red
qm1, 5841, 686, 1885, 2186, 2900, 1727, 47, 30, red
qm10, 3650, 686, 2912, 1446, 1885, 2537, 62, 23, red
qm11, 7770, 1915, 1111, 5830, 6893, 1123, 26, 27, blue
qm12, 4464, 2900, 5587, 6326, 2914, 4456, 23, 18, red
qm13, 5841, 6213, 449, 686, 4514, 5115, 21, 32, blue
qm14, 1389, 3793, 1111, 1885, 7770, 1727, 36, 46, blue
qm15, 5243, 7714, 5587, 6239, 5945, 2900, 28, 30, blue
qm16, 3650, 1915, 2537, 2186, 4456, 4949, 15, 18, blue
qm17, 2849, 1446, 5830, 1123, 4464, 4821, 27, 42, blue
qm18, 6326, 6893, 2912, 2914, 3389, 4472, 31, 48, blue
qm19, 3650, 5945, 1727, 6213, 2537, 4514, 41, 29, red
qm2, 7770, 2537, 1123, 5243, 2912, 4456, 42, 49, blue
qm20, 7770, 4456, 5115, 5830, 5587, 1915, 41, 45, blue
qm21, 5243, 6893, 4949, 4821, 2900, 2912, 15, 39, blue
qm22, 7714, 6326, 686, 1885, 2849, 1123, 25, 55, blue
qm23, 1446, 449, 1389, 4464, 4472, 3793, 47, 59, blue
qm24, 1111, 5841, 3389, 6239, 2186, 2914, 32, 32, 
qm25, 7714, 5115, 5830, 5945, 4514, 1885, 37, 42, blue
qm26, 7770, 4821, 3793, 2537, 686, 4472, 83, 45, red
qm27, 4949, 2914, 5587, 6893, 1389, 2186, 45, 23, red
qm28, 6239, 1123, 1727, 2912, 4464, 449, 57, 34, red
qm29, 3389, 3650, 2900, 5841, 1915, 2849, 11, 28, blue
qm3, 5115, 4472, 5945, 1111, 6239, 4821, 22, 29, blue
qm30, 1111, 4456, 1446, 6326, 6213, 5243, 36, 23, red
qm31, 5587, 5945, 686, 1885, 4464, 1389, 49, 52, blue
qm32, 3793, 2537, 2914, 1915, 6239, 2912, 29, 31, blue
qm33, 1111, 449, 5115, 6893, 5841, 7714, 42, 17, red
qm34, 6213, 1727, 5830, 2849, 5243, 3650, 47, 12, red
qm35, 2900, 1123, 1446, 4472, 4949, 7770, 27, 31, blue
qm36, 6326, 2186, 4514, 4821, 4456, 3389, 27, 57, blue
qm37, 2914, 1885, 7714, 449, 5830, 5243, 46, 46, 
qm38, 3793, 1123, 4949, 5587, 5841, 5115, 61, 40, red
qm39, 4456, 6239, 3650, 686, 1727, 6893, 38, 59, blue
qm4, 4514, 2849, 4949, 1915, 3793, 6326, 18, 25, blue
qm40, 5945, 1446, 1915, 3389, 2849, 6326, 24, 36, blue
qm41, 4514, 4472, 2900, 2537, 1111, 4464, 54, 36, red
qm42, 1389, 4821, 6213, 2912, 7770, 2186, 24, 37, blue
qm43, 4949, 1727, 7714, 1123, 449, 1915, 39, 41, blue
qm44, 2914, 686, 2849, 4514, 1111, 5587, 55, 54, red
qm45, 5830, 2912, 2537, 5115, 2900, 6213, 40, 26, red
qm46, 6893, 1885, 4456, 4821, 3650, 4472, 74, 43, red
qm47, 1446, 5841, 6239, 5945, 1389, 6326, 37, 24, red
qm48, 3793, 2186, 3389, 4464, 5243, 7770, 47, 41, red
qm49, 5587, 4821, 1885, 449, 4949, 2537, 43, 30, red
qm5, 3389, 5587, 449, 1389, 3650, 5830, 37, 22, red
qm50, 1389, 2912, 4514, 7714, 1111, 2849, 43, 29, red
qm51, 6893, 3389, 6239, 1727, 5115, 1446, 24, 40, blue
qm52, 2186, 4472, 1123, 2914, 5830, 5945, 51, 36, red
qm53, 2900, 1915, 4456, 686, 3793, 5243, 30, 38, blue
qm54, 4464, 6326, 5841, 3650, 7770, 6213, 21, 37, blue
qm55, 1123, 1389, 7714, 2537, 4821, 6893, 15, 30, blue
qm56, 1915, 2914, 5243, 3389, 1446, 686, 48, 36, red
qm57, 4472, 2912, 1111, 3793, 5587, 3650, 57, 69, blue
qm58, 5945, 6213, 4464, 5841, 4949, 2900, 25, 10, red
qm59, 2849, 5115, 2186, 4456, 1727, 449, 36, 59, blue
qm6, 6213, 6893, 2914, 7714, 1446, 4464, 11, 22, blue
qm60, 1885, 6326, 6239, 5830, 4514, 7770, 39, 52, blue
qm61, 1915, 4464, 686, 2912, 7714, 5945, 29, 45, blue
qm62, 2537, 3389, 1389, 4456, 1123, 5841, 36, 36, 
qm63, 4472, 6213, 1446, 5587, 6239, 2849, 32, 47, blue
qm64, 4949, 5830, 4821, 1727, 2914, 1111, 30, 42, blue
qm65, 2900, 6326, 7770, 4514, 449, 3650, 45, 50, blue
qm66, 5243, 1885, 2186, 5115, 3793, 6893, 40, 45, blue
qm67, 3389, 5830, 4464, 686, 1389, 6239, 39, 49, blue
qm68, 4456, 7714, 4514, 1446, 4949, 2912, 42, 40, red
qm69, 449, 7770, 6893, 2849, 2537, 5945, 54, 45, red
qm7, 1727, 4514, 4821, 2186, 5945, 5841, 80, 11, red
qm70, 5115, 3650, 2914, 2900, 3793, 1885, 38, 64, blue
qm71, 1727, 5243, 5841, 4472, 5587, 6326, 53, 71, blue
qm72, 4821, 2186, 1915, 1123, 1111, 6213, 36, 44, blue
qm8, 6239, 5243, 4472, 4949, 5115, 1389, 45, 50, blue
qm9, 449, 2849, 3793, 6213, 7714, 3389, 32, 11, red
sf1m1, 2912, 1123, 2186, 4472, 1727, 2537, 46, 64, blue
sf1m2, 2912, 1123, 2186, 4472, 1727, 2537, 46, 44, red
sf1m3, 2912, 1123, 2186, 4472, 1727, 2537, 51, 59, blue
sf2m1, 5587, 3793, 5830, 449, 1885, 2849, 63, 78, blue
sf2m2, 5587, 3793, 5830, 449, 1885, 2849, 66, 79, blue
